franchID,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,yearID
Celta Vigo,18,38,10,9,19,40,59,-19,39,1.03,2007
Espanyol,11,38,12,13,13,46,53,-7,49,1.29,2007
Getafe,9,38,14,10,14,39,33,6,52,1.37,2007
Gimnàstic de Tarragona,20,38,7,7,24,34,69,-35,28,0.74,2007
La Coruña,13,38,12,11,15,32,45,-13,47,1.24,2007
Levante,15,38,10,12,16,37,53,-16,42,1.11,2007
Mallorca,12,38,14,7,17,41,47,-6,49,1.29,2007
Osasuna,14,38,13,7,18,51,49,2,46,1.21,2007
Racing Sant,10,38,12,14,12,42,48,-6,50,1.32,2007
Real Betis,16,38,8,16,14,36,49,-13,40,1.05,2007
Real Madrid,1,38,23,7,8,66,40,26,76,2,2007
Real Sociedad,19,38,8,11,19,32,47,-15,35,0.92,2007
Recreativo,8,38,15,9,14,54,52,2,54,1.42,2007
Sevilla,3,38,21,8,9,64,35,29,71,1.87,2007
Valencia,4,38,20,6,12,57,42,15,66,1.74,2007
Villarreal,5,38,18,8,12,48,44,4,62,1.63,2007
Zaragoza,6,38,16,12,10,55,43,12,60,1.58,2007
Almería,8,38,14,10,14,42,45,-3,52,1.37,2008
Athletic Club,11,38,13,11,14,40,43,-3,50,1.32,2008
Atlético Madrid,4,38,19,7,12,66,47,19,64,1.68,2008
Barcelona,3,38,19,10,9,76,43,33,67,1.76,2008
Espanyol,12,38,13,9,16,43,53,-10,48,1.26,2008
Getafe,14,38,12,11,15,44,48,-4,47,1.24,2008
La Coruña,9,38,15,7,16,46,47,-1,52,1.37,2008
Levante,20,38,7,5,26,33,75,-42,26,0.68,2008
Mallorca,7,38,15,14,9,69,54,15,59,1.55,2008
Osasuna,17,38,12,7,19,37,44,-7,43,1.13,2008
Racing Sant,6,38,17,9,12,42,41,1,60,1.58,2008
Real Betis,13,38,12,11,15,45,51,-6,47,1.24,2008
Real Madrid,1,38,27,4,7,84,36,48,85,2.24,2008
Real Murcia,19,38,7,9,22,36,65,-29,30,0.79,2008
Recreativo,16,38,11,11,16,40,60,-20,44,1.16,2008
Sevilla,5,38,20,4,14,75,49,26,64,1.68,2008
Valencia,10,38,15,6,17,48,62,-14,51,1.34,2008
Valladolid,15,38,11,12,15,42,57,-15,45,1.18,2008
Villarreal,2,38,24,5,9,63,40,23,77,2.03,2008
Zaragoza,18,38,10,12,16,50,61,-11,42,1.11,2008
Almería,11,38,13,7,18,45,61,-16,46,1.21,2009
Athletic Club,13,38,12,8,18,47,62,-15,44,1.16,2009
Atlético Madrid,4,38,20,7,11,80,57,23,67,1.76,2009
Barcelona,1,38,27,6,5,105,35,70,87,2.29,2009
Espanyol,10,38,12,11,15,46,49,-3,47,1.24,2009
Getafe,17,38,10,12,16,50,56,-6,42,1.11,2009
La Coruña,7,38,16,10,12,48,47,1,58,1.53,2009
Málaga,8,38,15,10,13,55,59,-4,55,1.45,2009
Mallorca,9,38,14,9,15,53,60,-7,51,1.34,2009
Numancia,19,38,10,5,23,38,69,-31,35,0.92,2009
Osasuna,15,38,10,13,15,41,47,-6,43,1.13,2009
Racing Sant,12,38,12,10,16,49,48,1,46,1.21,2009
Real Betis,18,38,10,12,16,51,58,-7,42,1.11,2009
Real Madrid,2,38,25,3,10,83,52,31,78,2.05,2009
Recreativo,20,38,8,9,21,34,57,-23,33,0.87,2009
Sevilla,3,38,21,7,10,54,39,15,70,1.84,2009
Sporting de Gijón,14,38,14,1,23,47,79,-32,43,1.13,2009
Valencia,6,38,18,8,12,68,54,14,62,1.63,2009
Valladolid,16,38,12,7,19,46,58,-12,43,1.13,2009
Villarreal,5,38,18,11,9,61,54,7,65,1.71,2009
Almería,13,38,10,12,16,43,55,-12,42,1.11,2010
Athletic Club,8,38,15,9,14,50,53,-3,54,1.42,2010
Atlético Madrid,9,38,13,8,17,57,61,-4,47,1.24,2010
Barcelona,1,38,31,6,1,98,24,74,99,2.61,2010
Espanyol,11,38,11,11,16,29,46,-17,44,1.16,2010
Getafe,6,38,17,7,14,58,48,10,58,1.53,2010
La Coruña,10,38,13,8,17,35,49,-14,47,1.24,2010
Málaga,17,38,7,16,15,42,48,-6,37,0.97,2010
Mallorca,5,38,18,8,12,59,44,15,62,1.63,2010
Osasuna,12,38,11,10,17,37,46,-9,43,1.13,2010
Racing Sant,16,38,9,12,17,42,59,-17,39,1.03,2010
Real Madrid,2,38,31,3,4,102,35,67,96,2.53,2010
Sevilla,4,38,19,6,13,65,49,16,63,1.66,2010
Sporting de Gijón,15,38,9,13,16,36,51,-15,40,1.05,2010
Tenerife,19,38,9,9,20,40,74,-34,36,0.95,2010
Valencia,3,38,21,8,9,59,40,19,71,1.87,2010
Valladolid,18,38,7,15,16,37,62,-25,36,0.95,2010
Villarreal,7,38,16,8,14,58,57,1,56,1.47,2010
Xerez,20,38,8,10,20,38,66,-28,34,0.89,2010
Zaragoza,14,38,10,11,17,46,64,-18,41,1.08,2010
Almería,20,38,6,12,20,36,70,-34,30,0.79,2011
Athletic Club,6,38,18,4,16,59,55,4,58,1.53,2011
Atlético Madrid,7,38,17,7,14,62,53,9,58,1.53,2011
Barcelona,1,38,30,6,2,95,21,74,96,2.53,2011
Espanyol,8,38,15,4,19,46,55,-9,49,1.29,2011
Getafe,16,38,12,8,18,49,60,-11,44,1.16,2011
Hércules,19,38,9,8,21,36,60,-24,35,0.92,2011
La Coruña,18,38,10,13,15,31,47,-16,43,1.13,2011
Levante,14,38,12,9,17,41,52,-11,45,1.18,2011
Málaga,11,38,13,7,18,54,68,-14,46,1.21,2011
Mallorca,17,38,12,8,18,41,56,-15,44,1.16,2011
Osasuna,9,38,13,8,17,45,46,-1,47,1.24,2011
Racing Sant,12,38,12,10,16,41,56,-15,46,1.21,2011
Real Madrid,2,38,29,5,4,102,33,69,92,2.42,2011
