yearID,franchID,team,W,L,Ties,W-L%,GB,ch_win,ch_app
2004,SKW,SK Wyverns,61,64,8,0.488,12.5,N,N
2005,OBB,Doosan Bears,72,51,3,0.585,2.5,N,Y
2005,BGE,Hanwha Eagles,64,61,1,0.512,11.5,N,N
2005,SMS,Hyundai Unicorns,53,70,3,0.431,21.5,N,N
2005,HAI,Kia Tigers,49,76,1,0.392,26.5,N,N
2005,MBC,LG Twins,54,71,1,0.432,21.5,N,N
2005,LOG,Lotte Giants,58,67,1,0.464,17.5,N,N
2005,SAM,Samsung Lions,74,48,4,0.607,--,Y,Y
2005,SKW,SK Wyverns,70,50,6,0.583,3,N,N
2006,OBB,Doosan Bears,63,60,3,0.512,10,N,N
2006,BGE,Hanwha Eagles,67,57,2,0.54,6.5,N,Y
2006,SMS,Hyundai Unicorns,70,55,1,0.56,4,N,N
2006,HAI,Kia Tigers,64,59,3,0.52,9,N,N
2006,MBC,LG Twins,47,75,4,0.385,25.5,N,N
2006,LOG,Lotte Giants,50,73,3,0.407,23,N,N
2006,SAM,Samsung Lions,73,50,3,0.593,--,Y,Y
2006,SKW,SK Wyverns,60,65,1,0.48,14,N,N
2007,OBB,Doosan Bears,70,54,2,0.565,4.5,N,Y
2007,BGE,Hanwha Eagles,67,57,2,0.54,7.5,N,N
