yearID,lgID,tmID,franchID,name,confID,divID,playoff,G,W,L,T,OTL
1994,NHL,BUF,BUF,Buffalo Sabres,EC,NE,CQF,48,22,19,7,
1994,NHL,CAL,CAL,Calgary Flames,WC,PC,CQF,48,24,17,7,
1994,NHL,CHI,CHI,Chicago Blackhawks,WC,CE,CF,48,24,19,5,
1994,NHL,DAL,DAL,Dallas Stars,WC,CE,CQF,48,17,23,8,
1994,NHL,DET,DET,Detroit Red Wings,WC,CE,F,48,33,11,4,
1994,NHL,EDM,EDM,Edmonton Oilers,WC,PC,,48,17,27,4,
1994,NHL,FLO,FLO,Florida Panthers,EC,AT,,48,20,22,6,
1994,NHL,HAR,CAR,Hartford Whalers,EC,NE,,48,19,24,5,
1994,NHL,LAK,LAK,Los Angeles Kings,WC,PC,,48,16,23,9,
1994,NHL,MTL,MTL,Montreal Canadiens,EC,NE,,48,18,23,7,
1994,NHL,NJD,NJD,New Jersey Devils,EC,AT,SC,48,22,18,8,
1994,NHL,NYI,NYI,New York Islanders,EC,AT,,48,15,28,5,
1994,NHL,NYR,NYR,New York Rangers,EC,AT,CSF,48,22,23,3,
1994,NHL,OTT,OTT,Ottawa Senators,EC,NE,,48,9,34,5,
1994,NHL,PHI,PHI,Philadelphia Flyers,EC,AT,CF,48,28,16,4,
1994,NHL,PIT,PIT,Pittsburgh Penguins,EC,NE,CSF,48,29,16,3,
1994,NHL,QUE,COL,Quebec Nordiques,EC,NE,CQF,48,30,13,5,
1994,NHL,SJS,SJS,San Jose Sharks,WC,PC,CSF,48,19,25,4,
1994,NHL,STL,STL,St. Louis Blues,WC,CE,CQF,48,28,15,5,
1994,NHL,TBL,TBL,Tampa Bay Lightning,EC,AT,,48,17,28,3,
1994,NHL,TOR,TOR,Toronto Maple Leafs,WC,CE,CQF,48,21,19,8,
1994,NHL,VAN,VAN,Vancouver Canucks,WC,PC,CSF,48,18,18,12,
1994,NHL,WAS,WAS,Washington Capitals,EC,AT,CQF,48,22,18,8,
1994,NHL,WIN,PHO,Winnipeg Jets,WC,CE,,48,16,25,7,
1995,NHL,ANA,ANA,Mighty Ducks of Anaheim,WC,PC,,82,35,39,8,
1995,NHL,BOS,BOS,Boston Bruins,EC,NE,CQF,82,40,31,11,
1995,NHL,BUF,BUF,Buffalo Sabres,EC,NE,,82,33,42,7,
1995,NHL,CAL,CAL,Calgary Flames,WC,PC,CQF,82,34,37,11,
1995,NHL,CHI,CHI,Chicago Blackhawks,WC,CE,CSF,82,40,28,14,
1995,NHL,COL,COL,Colorado Avalanche,WC,PC,SC,82,47,25,10,
1995,NHL,DAL,DAL,Dallas Stars,WC,CE,,82,26,42,14,
1995,NHL,DET,DET,Detroit Red Wings,WC,CE,CF,82,62,13,7,
1995,NHL,EDM,EDM,Edmonton Oilers,WC,PC,,82,30,44,8,
