yearID,franchID,Team,GP,W,D,L,SOW,GF,GA,GD,Pts,Qualification,playoffs,ch_app,ch_win,supporters_shield
2008,NER,New England Revolution,30,12,7,11,,40,43,-3,43,2009 North American SuperLiga 4,Y,N,N,N
2008,NYB,New York Red Bulls,30,10,9,11,,42,48,-6,39,2009–10 CONCACAF Champions League Preliminary Round 3,Y,Y,N,N
2008,RSL,Real Salt Lake,30,10,10,10,,40,39,1,40,2008 MLS Cup Playoffs,Y,N,N,N
2008,SJE,San Jose Earthquakes,30,8,9,13,,32,38,-6,33,,N,N,N,N
2008,TOR,Toronto FC,30,9,8,13,,34,43,-9,35,,N,N,N,N
2009,CHI,Chicago Fire,30,11,12,7,,39,34,5,45,2010 North American SuperLiga 3,Y,N,N,N
2009,CVA,Chivas USA,30,13,6,11,,34,31,3,45,2010 North American SuperLiga 3,Y,N,N,N
2009,COL,Colorado Rapids,30,10,10,10,,42,38,4,40,,N,N,N,N
2009,CLM,Columbus Crew,30,13,10,7,,41,31,10,49,2010–11 CONCACAF Champions League Group Stage 2,Y,N,N,Y
2009,DCU,D.C. United,30,9,13,8,,43,44,-1,40,,N,N,N,N
2009,DAL,FC Dallas,30,11,6,13,,50,47,3,39,,N,N,N,N
2009,HOU,Houston Dynamo,30,13,9,8,,39,29,10,48,2010 North American SuperLiga 3,Y,N,N,N
2009,SKC,Kansas City Wizards,30,8,9,13,,33,42,-9,33,,N,N,N,N
